year,births,infant_deaths,perinatal_deaths,src_url
2000,4058814,28035,28412,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2001,4025933,27568,27779,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2002,4021726,28034,27750,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2003,4089950,28025,27812,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2004,4112052,27936,27551,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2005,4138349,28440,27313,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2006,4265555,28527,NA,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2007,4316233,29138,27624,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2008,4247694,28059,27610,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2009,4130665,26412,25610,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2010,3999386,24572,NA,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2011,3953590,23985,24908,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2012,3952841,23629,24508,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2013,3932181,23440,24380,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2014,3988076,23215,23928,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2015,3978497,23455,23871,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2016,3945875,23161,23675,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2017,3855500,22335,22747,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2018,3791712,21467,21992,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2019,3747540,20921,21361,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2020,3613647,19578,20236,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2021,3664292,19928,20154,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2022,3667758,20577,20173,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2023,3596017,20162,19778,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
2024,3628934,20048,19596,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm|https://data-explorer.oecd.org/
