制度区分,開催回,開催日,一覧ページURL,PDF_URL_判明分,備考,抽出_認定数,抽出_HPV認定数
予防接種法(定期接種),第134回,2019-09-27,https://www.mhlw.go.jp/stf/newpage_06994.html,https://www.mhlw.go.jp/content/10900000/000553430.pdf,,12,1
予防接種法(定期接種),第135回,2019-12-06,https://www.mhlw.go.jp/stf/newpage_08285.html,https://www.mhlw.go.jp/content/10900000/000574362.pdf,,19,3
予防接種法(定期接種),第136回,2020-02-07,https://www.mhlw.go.jp/stf/newpage_09384.html,https://www.mhlw.go.jp/content/10900000/000593728.pdf,,12,0
予防接種法(定期接種),第137回,2020-06-19,https://www.mhlw.go.jp/stf/newpage_11990.html,https://www.mhlw.go.jp/content/10900000/000641712.pdf,,11,1
予防接種法(定期接種),第138回,2020-08-20,https://www.mhlw.go.jp/stf/newpage_13059.html,https://www.mhlw.go.jp/content/10900000/000666390.pdf,,8,1
予防接種法(定期接種),第139回,2020-10-09,https://www.mhlw.go.jp/stf/newpage_14064.html,https://www.mhlw.go.jp/content/10900000/000681283.pdf,,12,0
予防接種法(定期接種),第140回,2021-02-05,https://www.mhlw.go.jp/stf/newpage_16599.html,https://www.mhlw.go.jp/content/10900000/000735308.pdf,,13,0
予防接種法(定期接種),第141回,2021-04-28,https://www.mhlw.go.jp/stf/newpage_18368.html,https://www.mhlw.go.jp/content/10900000/000774873.pdf,,7,0
予防接種法(定期接種),第142回,2021-06-02,https://www.mhlw.go.jp/stf/newpage_19029.html,https://www.mhlw.go.jp/content/10900000/000787648.pdf,,14,0
予防接種法(定期接種),第143回,2021-08-19,https://www.mhlw.go.jp/stf/newpage_20520.html,https://www.mhlw.go.jp/content/10900000/000821004.pdf,,39,0
予防接種法(定期接種),第144回,2021-10-28,https://www.mhlw.go.jp/stf/newpage_21908.html,https://www.mhlw.go.jp/content/10900000/000848731.pdf,,6,0
予防接種法(定期接種),第145回,2021-12-09,https://www.mhlw.go.jp/stf/newpage_22632.html,https://www.mhlw.go.jp/content/10900000/000864789.pdf,別途新型コロナワクチン分PDF: https://www.mhlw.go.jp/content/10900000/000864824.pdf,17,0
